Date,Adj Close,Open,High,Low,Close,Volume
2011-11-24,7618.5,7655.45,7798.09,7655.45,7782.24,1202714
2011-11-25,7602.99,7718.84,7782.24,7718.84,7766.39,1380070
2011-11-28,7571.95,7750.54,7766.39,7734.69,7734.69,878297
2011-11-29,7571.95,7766.39,7766.39,7718.84,7734.69,1076154
2011-11-30,7618.5,7734.69,7798.09,7734.69,7782.24,2186768
2011-12-01,7634.02,7687.14,7798.09,7687.14,7798.09,924167
2011-12-02,7649.54,7798.09,7877.34,7782.24,7813.94,2701726
2011-12-05,7758.15,7829.79,7924.89,7813.94,7924.89,2686838
2011-12-06,7758.15,8004.14,8004.14,7861.49,7924.89,1798622
2011-12-07,7758.15,7924.89,8004.14,7893.19,7924.89,1432183
2011-12-08,7727.12,7924.89,8004.14,7893.19,7893.19,283460
2011-12-09,7680.57,8004.14,8004.14,7845.64,7845.64,463467
2011-12-12,7680.57,7798.09,7877.34,7798.09,7845.64,1468839
2011-12-13,7665.05,7798.09,7861.49,7798.09,7829.79,1529723
2011-12-14,7602.99,7798.09,7829.79,7766.39,7766.39,1357796
2011-12-15,7540.92,7702.99,7750.54,7687.14,7702.99,587190
2011-12-16,7602.99,7639.6,7845.64,7639.6,7766.39,1074764
2011-12-19,7680.57,7766.39,7845.64,7766.39,7845.64,3498264
2011-12-20,7680.57,7607.9,7861.49,7607.9,7845.64,2290869
2011-12-21,7680.57,7845.64,7861.49,7813.94,7845.64,1506569
2011-12-22,7680.57,7845.64,7877.34,7766.39,7845.64,1230352
2011-12-23,7602.99,7702.99,7766.39,7702.99,7766.39,156585
2011-12-26,7587.47,7798.09,7798.09,7687.14,7750.54,687447
2011-12-27,7540.92,7750.54,7750.54,7687.14,7702.99,881697
2011-12-28,7556.44,7734.69,7734.69,7671.29,7718.84,617027
2011-12-29,7680.57,7766.39,7845.64,7639.6,7845.64,889340
2011-12-30,7711.6,7909.04,7909.04,7766.39,7877.34,1029464
2012-01-03,7634.02,7528.65,7829.79,7528.65,7798.09,471978
2012-01-04,7634.02,7813.94,7813.94,7782.24,7798.09,1096061
2012-01-05,7478.86,7655.45,7750.54,7623.75,7639.6,1828847
2012-01-06,7540.92,7687.14,7702.99,7655.45,7702.99,416964
2012-01-09,7571.95,7702.99,7734.69,7639.6,7734.69,921644
2012-01-10,7680.57,7687.14,7845.64,7687.14,7845.64,3156809
2012-01-11,7680.57,7845.64,7861.49,7766.39,7845.64,2558819
2012-01-12,7618.5,7734.69,7845.64,7734.69,7782.24,2320587
2012-01-13,7758.15,7766.39,7924.89,7766.39,7924.89,1404610
2012-01-16,7913.31,7924.89,8162.64,7924.89,8083.39,5530974
2012-01-17,7680.57,8004.14,8083.39,7845.64,7845.64,7125891
2012-01-18,7680.57,8004.14,8004.14,7845.64,7845.64,317218
2012-01-19,7711.6,8004.14,8004.14,7845.64,7877.34,553684
2012-01-20,7711.6,7909.04,7909.04,7845.64,7877.34,448259
2012-01-30,7758.15,7924.89,7924.89,7877.34,7924.89,205289
2012-01-31,7711.6,7924.89,8083.39,7877.34,7877.34,264599
2012-02-01,7835.73,8083.39,8083.39,7893.19,8004.14,280807
2012-02-02,7913.31,7924.89,8083.39,7924.89,8083.39,778481
2012-02-03,7835.73,8083.39,8083.39,8004.14,8004.14,1149714
2012-02-06,7835.73,8004.14,8083.39,7924.89,8004.14,635766
2012-02-07,7835.73,8004.14,8083.39,7924.89,8004.14,813310
2012-02-08,7990.89,8083.39,8162.64,8004.14,8162.64,1628716
2012-02-09,8068.48,8162.64,8241.89,8083.39,8241.89,970224
2012-02-10,7990.89,8241.89,8241.89,8162.64,8162.64,1415968
2012-02-13,7913.31,8241.89,8241.89,8083.39,8083.39,718422
2012-02-14,7913.31,8083.39,8162.64,8004.14,8083.39,768388
2012-02-15,7913.31,8162.64,8162.64,8083.39,8083.39,1448085
2012-02-16,7990.89,8004.14,8241.89,8004.14,8162.64,1455720
2012-02-17,8068.48,8083.39,8241.89,8083.39,8241.89,1279125
2012-02-20,8378.8,8241.89,8558.88,8241.89,8558.88,1926196
2012-02-21,8378.8,8558.88,8638.13,8479.63,8558.88,2836048
2012-02-22,8456.38,8638.13,8717.38,8558.88,8638.13,1611806
2012-02-23,8456.38,8558.88,8717.38,8558.88,8638.13,1307133
2012-02-24,8456.38,8796.63,8796.63,8638.13,8638.13,933625
2012-02-27,8533.96,8558.88,8717.38,8558.88,8717.38,890095
2012-02-28,8456.38,8558.88,8717.38,8558.88,8638.13,1085491
2012-02-29,8533.96,8638.13,8717.38,8558.88,8717.38,962335
2012-03-01,8533.96,8717.38,8717.38,8638.13,8717.38,865235
2012-03-02,8611.55,8717.38,8796.63,8638.13,8796.63,1176092
2012-03-05,8999.45,8875.88,9192.87,8875.88,9192.87,2949613
2012-03-06,8689.13,9509.87,9509.87,8875.88,8875.88,2849302
2012-03-07,8921.87,8875.88,9113.62,8796.63,9113.62,1708335
2012-03-08,8766.71,9034.38,9113.62,8796.63,8955.13,2573584
2012-03-09,8766.71,8875.88,9113.62,8875.88,8955.13,1493007
2012-03-12,8766.71,8875.88,8955.13,8875.88,8955.13,962526
2012-03-13,8844.29,8955.13,9034.38,8955.13,9034.38,777852
2012-03-14,8844.29,9034.38,9113.62,8955.13,9034.38,858923
2012-03-15,9154.62,9034.38,9351.37,9034.38,9351.37,2720717
2012-03-16,9154.62,9430.62,9509.87,9351.37,9351.37,2031308
2012-03-19,9154.62,9192.87,9351.37,9113.62,9351.37,1081270
2012-03-20,9077.04,9351.37,9351.37,9272.12,9272.12,595007
2012-03-21,9077.04,9272.12,9351.37,9192.87,9272.12,916467
2012-03-22,8921.87,9272.12,9272.12,9113.62,9113.62,568132
2012-03-23,8999.45,9192.87,9192.87,9113.62,9192.87,449962
2012-03-26,8999.45,9192.87,9192.87,9113.62,9192.87,708897
2012-03-27,8921.87,9034.38,9192.87,9034.38,9113.62,1168079
2012-03-28,8999.45,8955.13,9192.87,8955.13,9192.87,1437489
2012-03-29,8999.45,9192.87,9272.12,9113.62,9192.87,9333174
2012-03-30,8999.45,9272.12,9351.37,9113.62,9192.87,1435209
2012-04-03,8999.45,9192.87,9272.12,9192.87,9192.87,934769
2012-04-04,8999.45,9272.12,9351.37,9192.87,9192.87,1448590
2012-04-05,9232.2,9272.12,9589.12,9192.87,9430.62,4069569
2012-04-06,9232.2,9509.87,9509.87,9430.62,9430.62,295387
2012-04-09,9309.78,9589.12,9589.12,9430.62,9509.87,1177293
2012-04-10,9309.78,9589.12,9589.12,9430.62,9509.87,617470
2012-04-11,9697.69,9589.12,9906.11,9509.87,9906.11,2688225
2012-04-12,9775.27,9985.36,10064.61,9906.11,9985.36,1144609
2012-04-13,9464.94,9985.36,9985.36,9668.37,9668.37,1826066
2012-04-16,9620.11,9826.87,9985.36,9747.62,9826.87,936151
2012-04-17,9697.69,9985.36,9985.36,9747.62,9906.11,780822
2012-04-18,9620.11,9985.36,9985.36,9826.87,9826.87,717476
2012-04-19,9232.2,9826.87,9906.11,9430.62,9430.62,2368347
2012-04-20,9154.62,9509.87,9747.62,9351.37,9351.37,1957868
2012-04-23,9077.04,9430.62,9668.37,9272.12,9272.12,877537
2012-04-24,9309.78,9430.62,9509.87,9351.37,9509.87,846747
2012-04-25,9387.36,9747.62,9747.62,9509.87,9589.12,671539
